THE 2000 MOST COMMON FRENCH WORDS
===================================
Based on frequency analysis from spoken French (subtitles corpus)

This list represents the 2000 most frequently used words in spoken French, ranked by frequency of use.
Learning these words will give you approximately 80-90% text coverage in everyday conversation.

Note: These words are presented as they commonly appear (lemmas/word families), not separated into every conjugation.

---

RANK | FRENCH | ENGLISH
-----|--------|--------
1 | je | I
2 | de | of
3 | est | is
4 | pas | not
5 | le | the
6 | vous | you
7 | la | the
8 | tu | you
9 | que | that
10 | un | a
11 | il | it
12 | et | and
13 | à | with
14 | a | has
15 | ne | only
16 | les | the
17 | ce | this
18 | en | in
19 | on | on
20 | ça | that
21 | une | one
22 | ai | have
23 | pour | for
24 | des | of
25 | moi | me
26 | qui | which
27 | nous | we
28 | y | there
29 | mais | but
30 | me | me
31 | dans | in
32 | du | the
33 | bien | well
34 | elle | she
35 | si | if
36 | tout | while
37 | plus | more
38 | non | not
39 | mon | my
40 | suis | am
41 | te | you
42 | au | to
43 | avec | with
44 | va | will
45 | oui | yes
46 | toi | you
47 | fait | fact
48 | ils | they
49 | as | have
50 | être | be
51 | faire | to do
52 | se | oneself
53 | comme | such as
54 | était | was
55 | sur | about
56 | quoi | what
57 | ici | here
58 | sais | know
59 | lui | him
60 | veux | want
61 | ma | my
62 | là | there
63 | rien | nothing
64 | dit | said
65 | es | are
66 | où | where
67 | votre | your
68 | pourquoi | why
69 | sont | are
70 | cette | this
71 | quand | when
72 | par | by
73 | son | his
74 | ton | your
75 | peux | can
76 | vais | will
77 | dire | say
78 | alors | then
79 | comment | how
80 | avez | have
81 | bon | good
82 | ou | or
83 | très | very
84 | merci | thank you
85 | ont | have
86 | même | same
87 | jamais | never
88 | aussi | also
89 | voir | watch
90 | chose | thing
91 | allez | will
92 | tous | every
93 | deux | two
94 | ces | these
95 | faut | must
96 | sa | its
97 | êtes | are
98 | été | summer
99 | ta | your
100 | fais | do
101 | avoir | have
102 | peut | can
103 | autre | other
104 | m | m
105 | encore | yet
106 | maintenant | now
107 | peu | little
108 | mes | my
109 | vraiment | really
110 | temps | time
111 | notre | our
112 | toujours | always
113 | vie | life
114 | sans | without
115 | juste | just
116 | oh | oh
117 | avait | had
118 | accord | agreement
119 | vu | seen
120 | monde | world
121 | quelque | some
122 | fois | times
123 | aller | go
124 | trop | too
125 | viens | come
126 | crois | think
127 | dieu | god
128 | dois | have
129 | homme | man
130 | père | father
131 | sûr | secure
132 | aux | to
133 | leur | their
134 | avant | before
135 | étais | was
136 | besoin | need
137 | femme | wife
138 | aime | love
139 | personne | anyone
140 | avais | had
141 | chez | at
142 | vrai | real
143 | ans | years
144 | mal | wrong
145 | ses | its
146 | parler | speak
147 | vos | your
148 | après | after
149 | mort | death
150 | veut | wants
151 | eu | had
152 | sera | will
153 | bonne | good
154 | parce | because
155 | mieux | better
156 | petit | small
157 | voilà | here
158 | tes | your
159 | ca | ca
160 | dis | say
161 | beaucoup | a lot
162 | depuis | from
163 | doit | must
164 | vois | see
165 | mère | mother
166 | vas | going
167 | monsieur | Mr.
168 | quel | what
169 | déjà | already
170 | fille | girl
171 | gens | people
172 | donc | therefore
173 | jour | day
174 | soir | evening
175 | autres | other
176 | ii | ii
177 | toute | any
178 | bonjour | hello
179 | ll | ll
180 | maison | home
181 | nom | name
182 | argent | money
183 | nos | our
184 | ouais | yeah
185 | pense | think
186 | merde | shit
187 | nuit | night
188 | papa | dad
189 | cela | that
190 | salut | hi
191 | cet | this
192 | avons | have
193 | reste | remains
194 | désolé | sorry
195 | maman | mom
196 | peur | fear
197 | arrive | arrives
198 | seul | only
199 | vite | quickly
200 | prendre | take
201 | regarde | look
202 | air | air
203 | soit | or
204 | trois | three
205 | quelle | what
206 | passé | past
207 | savoir | know
208 | plaît | please
209 | choses | things
210 | moins | less
211 | fils | son
212 | entre | between
213 | bas | low
214 | appelle | calls
215 | passe | pass
216 | ah | ah
217 | tête | head
218 | demain | tomorrow
219 | grand | great
220 | arrête | stop
221 | faites | made
222 | voulez | want
223 | hé | hey
224 | attends | wait
225 | hein | huh
226 | enfants | children
227 | assez | enough
228 | raison | reason
229 | aurais | would
230 | voulais | wanted
231 | elles | they
232 | parle | speaks
233 | ok | ok
234 | jours | days
235 | dû | due
236 | moment | moment
237 | heure | hour
238 | puis | then
239 | gars | guys
240 | hommes | men
241 | amour | love
242 | tard | later
243 | toutes | all
244 | sommes | are
245 | tuer | kill
246 | eh | eh
247 | ami | friend
248 | connais | know
249 | petite | small
250 | aider | help
251 | chance | luck
252 | savez | know
253 | partir | leave
254 | sait | know
255 | combien | how much
256 | voiture | car
257 | tant | as
258 | pris | taken
259 | part | part
260 | problème | problem
261 | prends | take
262 | porte | door
263 | coup | blow
264 | serait | would
265 | venir | come
266 | hui | today
267 | famille | family
268 | travail | work
269 | pu | could
270 | seule | only
271 | sens | meaning
272 | ni | nor
273 | allons | will
274 | revoir | review
275 | idée | idea
276 | putain | fucking
277 | passer | pass
278 | contre | against
279 | comprends | understand
280 | entendu | heard
281 | trouvé | found
282 | trouver | find
283 | vieux | old
284 | vient | just
285 | pendant | during
286 | aurait | would
287 | quelques | a few
288 | attention | attention
289 | demande | request
290 | chercher | search
291 | sous | under
292 | voici | here is
293 | pourrait | could
294 | sang | blood
295 | pouvez | can
296 | sortir | out
297 | question | question
298 | histoire | history
299 | amis | friends
300 | venez | come
301 | frère | brother
302 | rester | stay
303 | fini | finished
304 | ville | city
305 | nouveau | new
306 | truc | trick
307 | tiens | like
308 | mois | month
309 | eux | them
310 | mec | guy
311 | yeux | eyes
312 | laisse | leaves
313 | super | super
314 | belle | beautiful
315 | longtemps | for a long time
316 | police | police
317 | eau | water
318 | heures | hours
319 | car | because
320 | importe | matter
321 | cas | case
322 | vont | will
323 | chaque | every
324 | terre | earth
325 | place | place
326 | tué | killed
327 | type | type
328 | main | hand
329 | pardon | forgiveness
330 | ensemble | together
331 | seulement | only
332 | guerre | war
333 | beau | beautiful
334 | vers | to
335 | mme | same
336 | prie | please
337 | devant | before
338 | trouve | found
339 | partie | part
340 | suite | continuation
341 | compris | including
342 | matin | morning
